phylum	genus	perc	date	pmid
Firmicutes	Enterococcus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Neisseria	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Yersenia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Salmonella	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Yersenia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Ruminococcus	3.6	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Escherichia	0.15	2017-09	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Enterococcus	3.6	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactobaccilus	3.6	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Streptococcus	3.6	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Yersenia	0.15	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Actinobacteria	Bifidobacterium	0.08	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Pseudomonas	0.15	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Firmicutes	Lactococcus	3.6	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
Proteobacteria	Helicobacter	0.15	2017-10	http://www.nature.com/nature/journal/v536/n7617/full/nature19094.html
