phylum	genus	date	pmid
Firmicutes	Clostridium	2016-05	26924180
Firmicutes	Clostridium	2015-11	26915224
Firmicutes	Clostridium	2016-03	26903012
Firmicutes	Clostridium	2016-01	26839586
Firmicutes	Clostridium	2016-03	26832641
Firmicutes	Clostridium	2016-01	26793273
Firmicutes	Clostridium	2016-04	26780375
Firmicutes	Clostridium	2016-04	26767573
Firmicutes	Clostridium	2016-02	26755502
Firmicutes	Clostridium	2016-01	26732067
Firmicutes	Clostridium	2015-12	26655167
Firmicutes	Clostridium	2015-01	26628912
Firmicutes	Clostridium	2015-11	26604256
Firmicutes	Clostridium	2016-02	26596572
Firmicutes	Clostridium	2016-03	26590584
Firmicutes	Clostridium	2015-05	26505015
Firmicutes	Clostridium	2015-11	26497628
Firmicutes	Clostridium	2015-12	26453472
Firmicutes	Clostridium	2015-01	26442177
Firmicutes	Clostridium	2015-01	26420467
Firmicutes	Clostridium	2015-11	26365585
Firmicutes	Clostridium	2015-09	26330515
Firmicutes	Clostridium	2015-11	26320708
Firmicutes	Clostridium	2015-08	26293474
Firmicutes	Clostridium	2016-08	26256097
Firmicutes	Clostridium	2015-08	26249707
Firmicutes	Clostridium	2015-10	26210291
Firmicutes	Clostridium	2015-09	26170002
Firmicutes	Clostridium	2015-09	26152821
Firmicutes	Clostridium	2015-09	26149991
Firmicutes	Clostridium	2015-01	26067816
Firmicutes	Clostridium	2015-08	26048945
Firmicutes	Clostridium	2015-10	26032368
Firmicutes	Clostridium	2015-08	26013492
Firmicutes	Clostridium	2015-07	26002632
Firmicutes	Clostridium	2015-09	25994254
Firmicutes	Clostridium	2015-07	25911483
Firmicutes	Clostridium	2015-03	25889728
Firmicutes	Clostridium	2015-07	25872412
Firmicutes	Clostridium	2015-06	25851718
Firmicutes	Clostridium	2016-05	25851509
Firmicutes	Clostridium	2015-01	25836262
Firmicutes	Clostridium	2015-05	25832359
Firmicutes	Clostridium	2015-03	25792046
Firmicutes	Clostridium	2015-01	25763107
Firmicutes	Clostridium	2015-03	25719907
Firmicutes	Clostridium	2015-03	25698490
Firmicutes	Clostridium	2015-04	25680931
Firmicutes	Clostridium	2015-05	25638019
Firmicutes	Clostridium	2015-08	28324542
Firmicutes	Clostridium	2015-03	25527559
Firmicutes	Clostridium	2015-01	25472438
Firmicutes	Clostridium	2015-01	25451462
Firmicutes	Clostridium	2015-01	25449011
Firmicutes	Clostridium	2014-01	25431621
Firmicutes	Clostridium	2014-01	25379054
Firmicutes	Clostridium	2014-01	25349627
Firmicutes	Clostridium	2014-10	25336453
Firmicutes	Clostridium	2014-11	25217846
Firmicutes	Clostridium	2014-09	25046159
Firmicutes	Clostridium	2014-07	24816621
Firmicutes	Clostridium	2014-05	24704310
Firmicutes	Clostridium	2014-06	24682304
Firmicutes	Clostridium	2014-05	24662701
Firmicutes	Clostridium	2014-05	24637367
Firmicutes	Clostridium	2014-02	24555718
Firmicutes	Clostridium	2014-03	24535568
Firmicutes	Clostridium	2014-01	24516531
Firmicutes	Clostridium	2014-04	24509933
Firmicutes	Clostridium	2014-06	24484910
Firmicutes	Clostridium	2014-03	24441158
Firmicutes	Clostridium	2014-05	24415498
Firmicutes	Clostridium	2014-03	24384234
Firmicutes	Clostridium	2013-08	24364350
Firmicutes	Clostridium	2013-11	24274140
Firmicutes	Clostridium	2013-01	24089676
Firmicutes	Clostridium	2013-11	24076145
Firmicutes	Clostridium	2013-09	24020887
Firmicutes	Clostridium	2013-11	24013291
Firmicutes	Clostridium	2013-11	23995920
Firmicutes	Clostridium	2013-11	23973656
Firmicutes	Clostridium	2013-10	23949683
Firmicutes	Clostridium	2014-03	23942878
Firmicutes	Clostridium	2013-10	23872562
Firmicutes	Clostridium	2013-08	23772070
Firmicutes	Clostridium	2013-09	23703324
Firmicutes	Clostridium	2013-07	23674152
Firmicutes	Clostridium	2013-06	23651949
Firmicutes	Clostridium	2013-07	23649912
Firmicutes	Clostridium	2013-07	23606675
Firmicutes	Clostridium	2013-04	23570573
Firmicutes	Clostridium	2013-10	23568786
Firmicutes	Clostridium	2013-07	23541907
Firmicutes	Clostridium	2013-05	23524105
Firmicutes	Clostridium	2013-05	23460591
Firmicutes	Clostridium	2013-01	23439504
Firmicutes	Clostridium	2013-04	23420268
Firmicutes	Clostridium	2013-02	23292245
Firmicutes	Clostridium	2013-02	23258532
Firmicutes	Clostridium	2013-02	23204413
Firmicutes	Clostridium	2013-01	23144135
Firmicutes	Clostridium	2013-03	23096577
Firmicutes	Clostridium	2012-10	23093384
Firmicutes	Clostridium	2012-07	23035570
Firmicutes	Clostridium	2012-12	23027190
Firmicutes	Clostridium	2012-11	22983967
Firmicutes	Clostridium	2012-11	22941272
Firmicutes	Clostridium	2012-08	22909015
Firmicutes	Clostridium	2013-01	22906955
Firmicutes	Clostridium	2013-02	22894159
Firmicutes	Clostridium	2012-09	22819734
Firmicutes	Clostridium	2012-05	22803344
Firmicutes	Clostridium	2013-01	22753004
Firmicutes	Clostridium	2012-09	22749877
Firmicutes	Clostridium	2012-09	22677452
Firmicutes	Clostridium	2012-09	22618238
Firmicutes	Clostridium	2012-01	22608734
Firmicutes	Clostridium	2012-08	22526420
Firmicutes	Clostridium	2012-05	22486648
Firmicutes	Clostridium	2012-07	22383050
Firmicutes	Clostridium	2012-05	22344658
Firmicutes	Clostridium	2012-04	22259038
Firmicutes	Clostridium	2012-01	22214220
Firmicutes	Clostridium	2012-03	22210214
Firmicutes	Clostridium	2012-01	22144358
Firmicutes	Clostridium	2012-01	22139042
Firmicutes	Clostridium	2012-01	22107906
Firmicutes	Clostridium	2012-06	22079352
Firmicutes	Clostridium	2012-01	22056607
Firmicutes	Clostridium	2011-12	21965408
Firmicutes	Clostridium	2011-12	21965407
Firmicutes	Clostridium	2012-01	21941543
Firmicutes	Clostridium	2012-02	21818859
Firmicutes	Clostridium	2011-09	21787814
Firmicutes	Clostridium	2011-02	21650047
Firmicutes	Clostridium	2011-07	21569861
Firmicutes	Clostridium	2011-06	21547458
Firmicutes	Clostridium	2011-07	21530675
Firmicutes	Clostridium	2011-08	21519935
Firmicutes	Clostridium	2011-04	21481308
Firmicutes	Clostridium	2011-05	21398484
Firmicutes	Clostridium	2011-05	21378034
Firmicutes	Clostridium	2011-10	21377350
Firmicutes	Clostridium	2011-03	21370473
Firmicutes	Clostridium	2011-04	21335380
Firmicutes	Clostridium	2011-07	21296183
Firmicutes	Clostridium	2011-03	21216898
Firmicutes	Clostridium	2011-08	20931261
Firmicutes	Clostridium	2010-09	20885952
Firmicutes	Clostridium	2010-10	20878592
Firmicutes	Clostridium	2010-10	20693441
Firmicutes	Clostridium	2010-10	20676627
Firmicutes	Clostridium	2010-09	20637040
Firmicutes	Clostridium	2010-08	20599622
Firmicutes	Clostridium	2010-01	20597011
Firmicutes	Clostridium	2010-07	20435768
Firmicutes	Clostridium	2010-08	20405152
Firmicutes	Clostridium	2010-09	20371307
Firmicutes	Clostridium	2010-03	20307315
Firmicutes	Clostridium	2010-07	20304089
Firmicutes	Clostridium	2010-02	20198582
Firmicutes	Clostridium	2010-06	20195860
Firmicutes	Clostridium	2010-01	20057062
Firmicutes	Clostridium	2010-03	19916789
Firmicutes	Clostridium	2010-01	19915043
Firmicutes	Clostridium	2010-01	19891996
Firmicutes	Clostridium	2009-11	19843308
Firmicutes	Clostridium	2009-10	19830716
Firmicutes	Clostridium	2009-12	19776116
Firmicutes	Clostridium	2009-09	19695296
Firmicutes	Clostridium	2009-10	19674858
Firmicutes	Clostridium	2009-09	19562394
Firmicutes	Clostridium	2009-05	19558967
Firmicutes	Clostridium	2009-07	19464384
Firmicutes	Clostridium	2009-07	19450643
Firmicutes	Clostridium	2009-07	19445976
Firmicutes	Clostridium	2009-02	19124587
Firmicutes	Clostridium	2009-01	19084524
Firmicutes	Clostridium	2008-12	19055772
Firmicutes	Clostridium	2008-11	18990232
Firmicutes	Clostridium	2008-11	18852061
Firmicutes	Clostridium	2008-12	18849451
Firmicutes	Clostridium	2009-01	18825379
Firmicutes	Clostridium	2008-10	18760360
Firmicutes	Clostridium	2008-10	18727018
Firmicutes	Clostridium	2009-01	18726959
Firmicutes	Clostridium	2008-06	18501709
Firmicutes	Clostridium	2008-07	18347825
Firmicutes	Clostridium	2008-03	18188555
Firmicutes	Clostridium	2007-01	18154441
Firmicutes	Clostridium	2007-12	18084087
Firmicutes	Clostridium	2008-03	18074176
Firmicutes	Clostridium	2008-01	18060402
Firmicutes	Clostridium	2008-01	17987288
Firmicutes	Clostridium	2008-11	17942358
Firmicutes	Clostridium	2007-12	17933911
Firmicutes	Clostridium	2007-09	17768251
Firmicutes	Clostridium	2007-03	17322187
Firmicutes	Clostridium	2007-02	17259608
Firmicutes	Clostridium	2007-02	17222594
Firmicutes	Clostridium	2007-03	17158682
Firmicutes	Clostridium	2007-01	17123467
Firmicutes	Clostridium	2007-02	17089149
Firmicutes	Clostridium	2007-01	17079043
Firmicutes	Clostridium	2006-08	17037067
Firmicutes	Clostridium	2006-09	16925561
Firmicutes	Clostridium	1997-12	16887617
Firmicutes	Clostridium	2006-01	16825787
Firmicutes	Clostridium	2006-04	16547044
Firmicutes	Clostridium	2006-03	16513746
Firmicutes	Clostridium	2005-12	16336647
Firmicutes	Clostridium	2005-12	16309390
Firmicutes	Clostridium	2005-11	16269799
Firmicutes	Clostridium	2005-08	16245444
Firmicutes	Clostridium	2003-01	16233526
Firmicutes	Clostridium	2005-09	16098481
Firmicutes	Clostridium	2005-09	16095939
Firmicutes	Clostridium	2005-04	15989261
Firmicutes	Clostridium	2003-03	15966321
Firmicutes	Clostridium	2005-04	15812030
Firmicutes	Clostridium	2005-03	15766777
Firmicutes	Clostridium	2005-01	15765251
Firmicutes	Clostridium	2005-02	15748809
Firmicutes	Clostridium	2005-03	15746321
Firmicutes	Clostridium	2005-01	15654892
Firmicutes	Clostridium	2004-10	15544534
Firmicutes	Clostridium	2004-09	15345405
Firmicutes	Clostridium	2004-09	15336408
Firmicutes	Clostridium	2004-08	15271388
Firmicutes	Clostridium	2004-06	15252718
Firmicutes	Clostridium	2004-06	15153112
Firmicutes	Clostridium	2003-12	15035028
Firmicutes	Clostridium	2004-03	15003646
Firmicutes	Clostridium	2003-12	14680709
Firmicutes	Clostridium	2003-12	14659549
Firmicutes	Clostridium	2003-12	14607405
Firmicutes	Clostridium	2003-10	14550648
Firmicutes	Clostridium	2003-10	14532050
Firmicutes	Clostridium	2003-10	14532033
Firmicutes	Clostridium	2003-10	14523111
Firmicutes	Clostridium	2003-07	12937998
Firmicutes	Clostridium	2003-08	12911311
Firmicutes	Clostridium	2003-08	12893263
Firmicutes	Clostridium	2003-07	12853390
Firmicutes	Clostridium	2003-06	12775702
Firmicutes	Clostridium	2003-05	12704175
Firmicutes	Clostridium	2003-01	12586402
Firmicutes	Clostridium	2003-02	12571006
Firmicutes	Clostridium	2003-01	12545384
Firmicutes	Clostridium	2003-02	12533485
Firmicutes	Clostridium	2003-02	12529501
Firmicutes	Clostridium	2002-10	12406220
Firmicutes	Clostridium	2002-08	12182834
Firmicutes	Clostridium	2002-06	12144768
Firmicutes	Clostridium	2001-01	12132875
Firmicutes	Clostridium	2000-01	12075415
Firmicutes	Clostridium	2002-02	12074052
Firmicutes	Clostridium	2002-07	12057953
Firmicutes	Clostridium	2002-04	11889112
Firmicutes	Clostridium	2002-01	11800470
Firmicutes	Clostridium	2001-09	11797218
Firmicutes	Clostridium	2002-02	11790753
Firmicutes	Clostridium	2001-11	11781806
Firmicutes	Clostridium	2001-10	11687934
Firmicutes	Clostridium	2001-11	11679336
Firmicutes	Clostridium	2001-06	11401722
Firmicutes	Clostridium	2001-04	11393282
Firmicutes	Clostridium	2001-01	11293486
Firmicutes	Clostridium	2001-04	11254569
Firmicutes	Clostridium	2001-01	11160802
Firmicutes	Clostridium	2001-01	11119561
Firmicutes	Clostridium	2000-09	11041350
Firmicutes	Clostridium	2000-09	10972834
Firmicutes	Clostridium	2000-01	10937488
Firmicutes	Clostridium	2000-01	10937485
Firmicutes	Clostridium	2000-07	10873634
Firmicutes	Clostridium	2000-02	10653745
Firmicutes	Clostridium	2000-01	10581430
Firmicutes	Clostridium	1999-11	10543811
Firmicutes	Clostridium	1999-10	10508051
Firmicutes	Clostridium	1999-09	10464218
Firmicutes	Clostridium	1999-08	10463150
Firmicutes	Clostridium	1999-01	10413356
Firmicutes	Clostridium	1999-06	10411273
Firmicutes	Clostridium	1999-05	10354519
Firmicutes	Clostridium	1999-06	10341219
Firmicutes	Clostridium	1998-04	10191392
Firmicutes	Clostridium	1999-03	10049845
Firmicutes	Clostridium	1998-11	9866174
Firmicutes	Clostridium	1998-11	9806860
Firmicutes	Clostridium	1998-05	9602158
Firmicutes	Clostridium	1998-05	9572925
Firmicutes	Clostridium	1998-04	9568996
Firmicutes	Clostridium	1998-04	9504995
Firmicutes	Clostridium	1998-01	9514706
Firmicutes	Clostridium	1998-03	9501448
Firmicutes	Clostridium	1997-09	9349721
Firmicutes	Clostridium	1997-09	9286999
Firmicutes	Clostridium	1997-08	16887600
Firmicutes	Clostridium	1997-08	9338007
Firmicutes	Clostridium	1997-08	9274030
Firmicutes	Clostridium	1997-08	9235957
Firmicutes	Clostridium	1997-07	9226259
Firmicutes	Clostridium	1997-07	9199470
Firmicutes	Clostridium	1997-01	9185148
Firmicutes	Clostridium	1997-03	9038324
Firmicutes	Clostridium	1997-02	9047357
Firmicutes	Clostridium	1996-08	8760920
Firmicutes	Clostridium	1996-08	8757849
Firmicutes	Clostridium	1996-08	8702268
Firmicutes	Clostridium	1996-06	8987493
Firmicutes	Clostridium	1996-06	8655474
Firmicutes	Clostridium	1996-05	8705667
Firmicutes	Clostridium	1996-05	8626337
Firmicutes	Clostridium	1996-03	8599217
Firmicutes	Clostridium	1996-02	8867865
Firmicutes	Clostridium	1996-02	8550525
Firmicutes	Clostridium	1996-01	8867610
Firmicutes	Clostridium	1996-01	8669898
Firmicutes	Clostridium	1995-12	8869641
Firmicutes	Clostridium	1995-10	7576773
Firmicutes	Clostridium	1995-05	7729925
Firmicutes	Clostridium	1995-04	7603469
Firmicutes	Clostridium	1995-04	7539689
Firmicutes	Clostridium	1995-03	7535249
Firmicutes	Clostridium	1995-02	7867955
Firmicutes	Clostridium	1995-02	7860591
Firmicutes	Clostridium	1995-02	7759394
Firmicutes	Clostridium	1995-01	7875566
Firmicutes	Clostridium	1995-01	7894709
Firmicutes	Clostridium	1995-01	7806374
Firmicutes	Clostridium	1994-12	7851735
Firmicutes	Clostridium	1994-11	8001771
Firmicutes	Clostridium	1994-10	7927694
Firmicutes	Clostridium	1994-10	7765497
Firmicutes	Clostridium	1994-09	8083176
Firmicutes	Clostridium	1994-08	8063721
Firmicutes	Clostridium	1994-05	8058827
Firmicutes	Clostridium	1994-03	7764636
Firmicutes	Clostridium	1994-01	8117087
Firmicutes	Clostridium	1993-11	7507453
Firmicutes	Clostridium	1993-11	18613233
Firmicutes	Clostridium	1993-11	8226639
Firmicutes	Clostridium	1993-09	8396545
Firmicutes	Clostridium	1993-09	8359918
Firmicutes	Clostridium	1993-08	8349661
Firmicutes	Clostridium	1993-07	8215350
Firmicutes	Clostridium	1993-06	8509336
Firmicutes	Clostridium	1993-06	8319893
Firmicutes	Clostridium	1993-05	8098326
Firmicutes	Clostridium	1993-04	8514119
Firmicutes	Clostridium	1993-04	8386500
Firmicutes	Clostridium	1993-03	8449924
Firmicutes	Clostridium	1993-03	8449872
Firmicutes	Clostridium	1993-02	8423073
Firmicutes	Clostridium	1993-01	8450310
Firmicutes	Clostridium	1993-01	7680708
Firmicutes	Clostridium	1992-12	1360004
Firmicutes	Clostridium	1992-10	1416617
Firmicutes	Clostridium	1992-08	1355455
Firmicutes	Clostridium	1992-07	1512567
Firmicutes	Clostridium	1992-05	1513878
Firmicutes	Clostridium	1992-05	1349602
Firmicutes	Clostridium	1992-04	1599236
Firmicutes	Clostridium	1992-02	1577256
Firmicutes	Clostridium	1992-02	1368230
Firmicutes	Clostridium	1992-01	1339360
Firmicutes	Clostridium	1991-12	1809209
Firmicutes	Clostridium	1991-11	1774279
Firmicutes	Clostridium	1991-09	1685080
Firmicutes	Clostridium	1991-03	1999395
Firmicutes	Clostridium	1991-02	1995642
Firmicutes	Clostridium	1991-02	1991710
Firmicutes	Clostridium	1991-01	1987027
Firmicutes	Clostridium	1990-12	2082823
Firmicutes	Clostridium	1990-11	2268159
Firmicutes	Clostridium	1990-09	2222445
Firmicutes	Clostridium	1990-07	2172445
Firmicutes	Clostridium	1990-06	2383010
Firmicutes	Clostridium	1990-06	2383002
Firmicutes	Clostridium	1990-05	2199603
Firmicutes	Clostridium	1990-04	2318526
Firmicutes	Clostridium	1990-02	1368508
Firmicutes	Clostridium	1990-01	2192667
Firmicutes	Clostridium	1990-01	2082160
Firmicutes	Clostridium	1989-12	2690015
Firmicutes	Clostridium	1989-11	2560137
Firmicutes	Clostridium	1989-09	2679379
Firmicutes	Clostridium	1989-09	2554801
Firmicutes	Clostridium	1989-08	2802575
Firmicutes	Clostridium	1989-05	2673928
Firmicutes	Clostridium	1989-03	2721922
Firmicutes	Clostridium	1989-02	2541660
Firmicutes	Clostridium	1989-01	2565853
Firmicutes	Clostridium	1989-01	2506313
Firmicutes	Clostridium	1988-12	3273466
Firmicutes	Clostridium	1988-10	2463955
Firmicutes	Clostridium	1988-10	3079172
Firmicutes	Clostridium	1988-09	3147372
Firmicutes	Clostridium	1988-08	2847649
Firmicutes	Clostridium	1988-06	3286505
Firmicutes	Clostridium	1988-05	3389820
Firmicutes	Clostridium	1988-03	16347579
Firmicutes	Clostridium	1988-01	2894200
Firmicutes	Clostridium	1988-01	2891680
Firmicutes	Clostridium	1987-12	2961615
Firmicutes	Clostridium	1987-03	3030812
Firmicutes	Clostridium	1986-10	3536478
Firmicutes	Clostridium	1986-09	16347143
Firmicutes	Clostridium	1986-08	3093821
Firmicutes	Clostridium	1986-05	3021896
Firmicutes	Clostridium	1986-01	3153137
Firmicutes	Clostridium	1985-11	3938632
Firmicutes	Clostridium	1984-08	6086570
Firmicutes	Ruminococcus	2009-08	19630415
Firmicutes	Ruminococcus	2005-08	16085810
Firmicutes	Ruminococcus	2004-05	15090497
Firmicutes	Ruminococcus	2001-03	11222592
Firmicutes	Ruminococcus	1998-01	9473449
Firmicutes	Ruminococcus	1996-11	8900066
Firmicutes	Ruminococcus	1992-07	1426982
Firmicutes	Ruminococcus	1992-04	1584021
Firmicutes	Ruminococcus	1988-05	16347634
Firmicutes	Lactobacillus	2017-05	28504575
Firmicutes	Lactobacillus	2017-06	28370088
Firmicutes	Lactobacillus	2017-01	28360900
Firmicutes	Lactobacillus	2017-04	28319379
Firmicutes	Lactobacillus	2017-03	28288769
Firmicutes	Lactobacillus	2017-04	28187329
Firmicutes	Lactobacillus	2017-04	28115379
Firmicutes	Lactobacillus	2017-02	28067044
Firmicutes	Lactobacillus	2017-01	28045590
Firmicutes	Lactobacillus	2017-04	28003427
Firmicutes	Lactobacillus	2017-01	27867078
Firmicutes	Lactobacillus	2017-02	27860074
Firmicutes	Lactobacillus	2016-11	27834122
Firmicutes	Lactobacillus	2017-01	27816388
Firmicutes	Lactobacillus	2017-01	27815271
Firmicutes	Lactobacillus	2017-03	27815133
Firmicutes	Lactobacillus	2016-11	27295039
Firmicutes	Lactobacillus	2016-11	27745954
Firmicutes	Lactobacillus	2016-11	27663853
Firmicutes	Lactobacillus	2016-12	27716473
Firmicutes	Lactobacillus	2016-01	27764251
Firmicutes	Lactobacillus	2016-11	27557715
Firmicutes	Lactobacillus	2016-07	27718591
Firmicutes	Lactobacillus	2017-02	27697167
Firmicutes	Lactobacillus	2016-09	27653426
Firmicutes	Lactobacillus	2016-10	27609229
Firmicutes	Lactobacillus	2016-12	27592105
Firmicutes	Lactobacillus	2016-10	27496774
Firmicutes	Lactobacillus	2016-11	27373940
Firmicutes	Lactobacillus	2016-09	27312380
Firmicutes	Lactobacillus	2016-07	27233126
Firmicutes	Lactobacillus	2016-07	27203805
Firmicutes	Lactobacillus	2016-07	27190148
Firmicutes	Lactobacillus	2016-07	27154346
Firmicutes	Lactobacillus	2016-05	27142045
Firmicutes	Lactobacillus	2016-10	27119622
Firmicutes	Lactobacillus	2016-01	27118078
Firmicutes	Lactobacillus	2015-12	27101700
Firmicutes	Lactobacillus	2016-09	27084765
Firmicutes	Lactobacillus	2016-01	27029122
Firmicutes	Lactobacillus	2016-01	27026866
Firmicutes	Lactobacillus	2016-03	26966093
Firmicutes	Lactobacillus	2015-09	26955710
Firmicutes	Lactobacillus	2016-05	26922415
Firmicutes	Lactobacillus	2016-03	26919577
Firmicutes	Lactobacillus	2017-05	26918754
Firmicutes	Lactobacillus	2016-04	26892019
Firmicutes	Lactobacillus	2016-03	26825016
Firmicutes	Lactobacillus	2016-02	26790714
Firmicutes	Lactobacillus	2016-02	26708345
Firmicutes	Lactobacillus	2015-12	26694451
Firmicutes	Lactobacillus	2015-12	26691527
Firmicutes	Lactobacillus	2016-02	26675359
Firmicutes	Lactobacillus	2015-12	26637469
Firmicutes	Lactobacillus	2015-01	26629822
Firmicutes	Lactobacillus	2016-01	26618736
Firmicutes	Lactobacillus	2016-02	26608167
Firmicutes	Lactobacillus	2015-09	26596086
Firmicutes	Lactobacillus	2016-04	26590586
Firmicutes	Lactobacillus	2015-11	26581248
Firmicutes	Lactobacillus	2015-01	26562012
Firmicutes	Lactobacillus	2015-01	26509697
Firmicutes	Lactobacillus	2016-02	26503255
Firmicutes	Lactobacillus	2015-09	26487922
Firmicutes	Lactobacillus	2015-10	26471395
Firmicutes	Lactobacillus	2015-10	26438232
Firmicutes	Lactobacillus	2015-09	26415554
Firmicutes	Lactobacillus	2015-07	26413069
Firmicutes	Lactobacillus	2015-12	26386184
Firmicutes	Lactobacillus	2015-12	26370507
Firmicutes	Lactobacillus	2016-01	26363195
Firmicutes	Lactobacillus	2016-01	26337416
Firmicutes	Lactobacillus	2015-09	27844008
Firmicutes	Lactobacillus	2015-12	26282688
Firmicutes	Lactobacillus	2015-10	26280324
Firmicutes	Lactobacillus	2015-09	26210951
Firmicutes	Lactobacillus	2015-09	26198023
Firmicutes	Lactobacillus	2015-01	26185907
Firmicutes	Lactobacillus	2015-06	26174665
Firmicutes	Lactobacillus	2015-08	26129953
Firmicutes	Lactobacillus	2015-09	26116681
Firmicutes	Lactobacillus	2015-12	26108160
Firmicutes	Lactobacillus	2015-01	26059800
Firmicutes	Lactobacillus	2015-09	26044056
Firmicutes	Lactobacillus	2015-09	26038184
Firmicutes	Lactobacillus	2015-08	26018217
Firmicutes	Lactobacillus	2015-08	26015260
Firmicutes	Lactobacillus	2015-05	25944046
Firmicutes	Lactobacillus	2015-05	25940225
Firmicutes	Lactobacillus	2015-05	25882072
Firmicutes	Lactobacillus	2015-03	25880197
Firmicutes	Lactobacillus	2015-05	25837504
Firmicutes	Lactobacillus	2015-06	25819954
Firmicutes	Lactobacillus	2015-07	25757029
Firmicutes	Lactobacillus	2015-04	25750046
Firmicutes	Lactobacillus	2014-09	25720152
Firmicutes	Lactobacillus	2015-01	25691882
Firmicutes	Lactobacillus	2015-05	25684078
Firmicutes	Lactobacillus	2015-02	25644955
Firmicutes	Lactobacillus	2016-12	25641594
Firmicutes	Lactobacillus	2015-02	25533634
Firmicutes	Lactobacillus	2015-01	25479060
Firmicutes	Lactobacillus	2014-12	25415663
Firmicutes	Lactobacillus	2014-11	25410118
Firmicutes	Lactobacillus	2014-10	25342633
Firmicutes	Lactobacillus	2014-12	25281374
Firmicutes	Lactobacillus	2014-01	25237653
Firmicutes	Lactobacillus	2014-01	25227103
Firmicutes	Lactobacillus	2014-08	25185700
Firmicutes	Lactobacillus	2015-01	25179900
Firmicutes	Lactobacillus	2014-10	25173692
Firmicutes	Lactobacillus	2014-11	25173466
Firmicutes	Lactobacillus	2014-01	25110891
Firmicutes	Lactobacillus	2014-08	25104116
Firmicutes	Lactobacillus	2014-09	25099376
Firmicutes	Lactobacillus	2014-08	25084378
Firmicutes	Lactobacillus	2014-09	25083619
Firmicutes	Lactobacillus	2014-01	25074379
Firmicutes	Lactobacillus	2014-07	25050780
Firmicutes	Lactobacillus	2015-01	25027572
Firmicutes	Lactobacillus	2014-11	25016975
Firmicutes	Lactobacillus	2014-11	24989485
Firmicutes	Lactobacillus	2014-07	24933690
Firmicutes	Lactobacillus	2014-05	24884459
Firmicutes	Lactobacillus	2014-07	24879963
Firmicutes	Lactobacillus	2014-06	24856385
Firmicutes	Lactobacillus	2014-06	24856291
Firmicutes	Lactobacillus	2014-09	24818858
Firmicutes	Lactobacillus	2014-07	24798148
Firmicutes	Lactobacillus	2014-09	24770872
Firmicutes	Lactobacillus	2014-07	24742994
Firmicutes	Lactobacillus	2014-05	24731821
Firmicutes	Lactobacillus	2014-08	24728715
Firmicutes	Lactobacillus	2014-01	24714362
Firmicutes	Lactobacillus	2014-08	24671300
Firmicutes	Lactobacillus	2014-06	24657853
Firmicutes	Lactobacillus	2014-07	24652065
Firmicutes	Lactobacillus	2014-01	24614815
Firmicutes	Lactobacillus	2014-09	24598012
Firmicutes	Lactobacillus	2014-01	24577784
Firmicutes	Lactobacillus	2014-04	24569297
Firmicutes	Lactobacillus	2014-04	24457071
Firmicutes	Lactobacillus	2014-02	24443973
Firmicutes	Lactobacillus	2013-12	24426140
Firmicutes	Lactobacillus	2013-06	24400527
Firmicutes	Lactobacillus	2014-01	25788977
Firmicutes	Lactobacillus	2014-07	24332262
